state,year,leg_date
Alaska,2016,08/16/2016
Alaska,2018,08/21/2018
Alaska,2020,08/18/2020
Alaska,2022,08/16/2022
Alaska,2024,08/20/2024
Alabama,2016,03/01/2016
Alabama,2018,06/05/2018
Alabama,2020,03/03/2020
Alabama,2022,05/24/2022
Alabama,2024,03/05/2024
Alabama,1990,06/05/1990
Alabama,1992,06/02/1992
Alabama,1994,06/07/1994
Alabama,1996,06/04/1996
Alabama,1998,06/02/1998
Alabama,2000,06/06/2000
Alabama,2002,06/04/2002
Alabama,2004,06/01/2004
Alabama,2006,06/06/2006
Alabama,2008,06/03/2008
Alabama,2010,06/01/2010
Alabama,2012,03/13/2012
Alabama,2014,06/03/2014
Alaska,1990,08/28/1990
Alaska,1992,08/25/1992
Alaska,1994,08/23/1994
Alaska,1996,08/27/1996
Alaska,1998,08/25/1998
Alaska,2000,08/22/2000
Alaska,2002,08/27/2002
Alaska,2004,08/24/2004
Alaska,2006,08/22/2006
Alaska,2008,08/26/2008
Alaska,2010,08/24/2010
Alaska,2012,08/28/2012
Alaska,2014,08/19/2014
Arkansas,2016,03/01/2016
Arkansas,2018,05/22/2018
Arkansas,2020,03/03/2020
Arkansas,2022,05/24/2022
Arkansas,2024,03/05/2024
Arizona,1990,09/11/1990
Arizona,1992,09/08/1992
Arizona,1994,09/13/1994
Arizona,1996,09/10/1996
Arizona,1998,09/08/1998
Arizona,2000,09/12/2000
Arizona,2002,09/10/2002
Arizona,2004,09/07/2004
Arizona,2006,09/12/2006
Arizona,2008,09/02/2008
Arizona,2010,08/24/2010
Arizona,2012,08/28/2012
Arizona,2014,08/26/2014
Arkansas,1990,05/29/1990
Arkansas,1992,05/26/1992
Arkansas,1994,05/24/1994
Arkansas,1996,05/21/1996
Arkansas,1998,05/19/1998
Arkansas,2000,05/23/2000
Arkansas,2002,05/21/2002
Arkansas,2004,05/18/2004
Arkansas,2006,05/23/2006
Arkansas,2008,05/20/2008
Arkansas,2010,05/18/2010
Arkansas,2012,05/22/2012
Arkansas,2014,05/20/2014
Arizona,2016,08/30/2016
Arizona,2018,08/28/2018
Arizona,2020,08/04/2020
Arizona,2022,08/02/2022
Arizona,2024,07/30/2024
California,2016,06/07/2016
California,2018,06/05/2018
California,2020,03/03/2020
California,2022,06/07/2022
California,2024,03/05/2024
California,1990,06/05/1990
California,1992,06/02/1992
California,1994,06/07/1994
California,1996,03/26/1996
California,1998,06/02/1998
California,2000,03/07/2000
California,2002,03/05/2002
California,2004,03/02/2004
California,2006,06/06/2006
California,2008,06/03/2008
California,2010,06/08/2010
California,2012,06/05/2012
California,2014,06/03/2014
Colorado,2016,06/28/2016
Colorado,2018,06/26/2018
Colorado,2020,06/30/2020
Colorado,2022,06/28/2022
Colorado,2024,06/25/2024
Colorado,1990,08/14/1990
Colorado,1992,08/11/1992
Colorado,1994,08/09/1994
Colorado,1996,08/13/1996
Colorado,1998,08/11/1998
Colorado,2000,08/08/2000
Colorado,2002,08/13/2002
Colorado,2004,08/10/2004
Colorado,2006,08/08/2006
Colorado,2008,08/12/2008
Colorado,2010,08/10/2010
Colorado,2012,06/26/2012
Colorado,2014,06/24/2014
Connecticut,1990,09/11/1990
Connecticut,1992,09/15/1992
Connecticut,1994,09/13/1994
Connecticut,1996,09/10/1996
Connecticut,1998,09/15/1998
Connecticut,2000,09/12/2000
Connecticut,2002,09/10/2002
Connecticut,2004,08/10/2004
Connecticut,2006,08/08/2006
Connecticut,2008,08/12/2008
Connecticut,2010,08/10/2010
Connecticut,2012,08/14/2012
Connecticut,2014,08/12/2014
Connecticut,2016,08/09/2016
Connecticut,2018,08/14/2018
Connecticut,2020,08/11/2020
Connecticut,2022,08/09/2022
Connecticut,2024,08/13/2024
Delaware,2016,09/13/2016
Delaware,2018,09/06/2018
Delaware,2020,09/15/2020
Delaware,2022,09/13/2022
Delaware,2024,09/03/2024
Delaware,1990,09/08/1990
Delaware,1992,09/12/1992
Delaware,1994,09/10/1994
Delaware,1996,09/07/1996
Delaware,1998,09/12/1998
Delaware,2000,09/09/2000
Delaware,2002,09/07/2002
Delaware,2004,09/11/2004
Delaware,2006,09/12/2006
Delaware,2008,09/09/2008
Delaware,2010,09/14/2010
Delaware,2012,09/11/2012
Florida,2016,08/30/2016
Florida,2018,08/28/2018
Florida,2020,08/18/2020
Florida,2022,08/23/2022
Florida,2024,08/20/2024
Florida,1990,09/04/1990
Florida,1992,09/01/1992
Florida,1994,09/06/1994
Florida,1996,09/03/1996
Florida,1998,09/01/1998
Florida,2000,09/05/2000
Florida,2002,09/10/2002
Florida,2004,08/31/2004
Florida,2006,09/05/2006
Florida,2008,08/26/2008
Florida,2010,08/24/2010
Florida,2012,08/14/2012
Florida,2014,08/26/2014
Georgia,2016,05/24/2016
Georgia,2018,05/22/2018
Georgia,2020,06/09/2020
Georgia,2022,05/24/2022
Georgia,2024,05/21/2024
Georgia,1990,07/17/1990
Georgia,1992,07/21/1992
Georgia,1994,07/19/1994
Georgia,1996,07/16/1996
Georgia,1998,07/21/1998
Georgia,2000,07/18/2000
Georgia,2002,08/20/2002
Georgia,2004,07/20/2004
Georgia,2006,07/18/2006
Georgia,2008,07/15/2008
Georgia,2010,07/20/2010
Georgia,2012,07/31/2012
Georgia,2014,05/20/2014
Hawaii,1990,09/22/1990
Hawaii,1992,09/19/1992
Hawaii,1994,09/17/1994
Hawaii,1996,09/21/1996
Hawaii,1998,09/19/1998
Hawaii,2000,09/23/2000
Hawaii,2002,09/21/2002
Hawaii,2004,09/18/2004
Hawaii,2006,09/23/2006
Hawaii,2008,09/20/2008
Hawaii,2010,09/18/2010
Hawaii,2012,08/11/2012
Hawaii,2014,08/09/2014
Hawaii,2016,08/13/2016
Hawaii,2018,08/11/2018
Hawaii,2020,08/08/2020
Hawaii,2022,08/13/2022
Hawaii,2024,08/10/2024
Iowa,2016,06/07/2016
Iowa,2018,06/05/2018
Iowa,2020,06/02/2020
Iowa,2022,06/07/2022
Iowa,2024,06/04/2024
Idaho,2016,05/17/2016
Idaho,2018,05/15/2018
Idaho,2020,05/19/2020
Idaho,2022,05/17/2022
Idaho,2024,05/21/2024
Idaho,1990,05/22/1990
Idaho,1992,05/26/1992
Idaho,1994,05/24/1994
Idaho,1996,05/28/1996
Idaho,1998,05/26/1998
Idaho,2000,05/23/2000
Idaho,2002,05/28/2002
Idaho,2004,05/25/2004
Idaho,2006,05/23/2006
Idaho,2008,05/27/2008
Idaho,2010,05/25/2010
Idaho,2012,05/15/2012
Idaho,2014,05/20/2014
Illinois,2016,03/15/2016
Illinois,2018,03/20/2018
Illinois,2020,03/17/2020
Illinois,2022,06/28/2022
Illinois,2024,03/19/2024
Illinois,1990,03/20/1990
Illinois,1992,03/17/1992
Illinois,1994,03/15/1994
Illinois,1996,03/19/1996
Illinois,1998,03/17/1998
Illinois,2000,03/21/2000
Illinois,2002,03/19/2002
Illinois,2004,03/16/2004
Illinois,2006,03/21/2006
Illinois,2008,02/05/2008
Illinois,2010,02/02/2010
Illinois,2012,03/20/2012
Illinois,2014,03/18/2014
Indiana,2016,05/03/2016
Indiana,2018,05/08/2018
Indiana,2020,06/02/2020
Indiana,2022,05/03/2022
Indiana,2024,05/07/2024
Indiana,1990,05/08/1990
Indiana,1992,05/05/1992
Indiana,1994,05/03/1994
Indiana,1996,05/07/1996
Indiana,1998,05/05/1998
Indiana,2000,05/02/2000
Indiana,2002,05/07/2002
Indiana,2004,05/04/2004
Indiana,2006,05/02/2006
Indiana,2008,05/06/2008
Indiana,2010,05/04/2010
Indiana,2012,05/08/2012
Indiana,2014,05/06/2014
Iowa,1990,06/05/1990
Iowa,1992,06/02/1992
Iowa,1994,06/07/1994
Iowa,1996,06/04/1996
Iowa,1998,06/02/1998
Iowa,2000,06/06/2000
Iowa,2002,06/04/2002
Iowa,2004,06/08/2004
Iowa,2006,06/06/2006
Iowa,2008,06/03/2008
Iowa,2010,06/08/2010
Iowa,2012,06/05/2012
Iowa,2014,06/03/2014
Kansas,1990,08/07/1990
Kansas,1992,08/04/1992
Kansas,1994,08/02/1994
Kansas,1996,08/06/1996
Kansas,1998,08/04/1998
Kansas,2000,08/01/2000
Kansas,2002,08/06/2002
Kansas,2004,08/03/2004
Kansas,2006,08/01/2006
Kansas,2008,08/05/2008
Kansas,2010,08/03/2010
Kansas,2012,08/07/2012
Kansas,2014,08/05/2014
Kentucky,1990,05/29/1990
Kentucky,1992,05/26/1992
Kentucky,1994,05/24/1994
Kentucky,1996,05/28/1996
Kentucky,1998,05/26/1998
Kentucky,2000,05/23/2000
Kentucky,2002,05/28/2002
Kentucky,2004,05/18/2004
Kentucky,2006,05/16/2006
Kentucky,2008,05/20/2008
Kentucky,2010,05/18/2010
Kentucky,2012,05/22/2012
Kentucky,2014,05/20/2014
Kansas,2016,08/02/2016
Kansas,2018,08/07/2018
Kansas,2020,08/04/2020
Kansas,2022,08/02/2022
Kansas,2024,08/06/2024
Kentucky,2016,05/17/2016
Kentucky,2018,05/22/2018
Kentucky,2020,06/23/2020
Kentucky,2022,05/17/2022
Kentucky,2024,05/21/2024
Louisiana,1991,10/19/1991
Louisiana,1995,10/21/1995
Louisiana,1999,10/23/1999
Louisiana,2003,10/04/2003
Louisiana,2007,10/20/2005
Louisiana,2011,10/22/2011
Louisiana,2015,10/24/2015
Louisiana,2019,10/12/2019
Louisiana,2023,10/14/2023
Massachusetts,2016,09/08/2016
Massachusetts,2018,09/04/2018
Massachusetts,2020,09/01/2020
Massachusetts,2022,09/06/2022
Massachusetts,2024,09/03/2024
Maine,1990,06/12/1990
Maine,1992,06/09/1992
Maine,1994,06/14/1994
Maine,1996,06/11/1996
Maine,1998,06/09/1998
Maine,2000,06/13/2000
Maine,2002,06/11/2002
Maine,2004,06/08/2004
Maine,2006,06/13/2006
Maine,2008,06/10/2008
Maine,2010,06/08/2010
Maine,2012,06/12/2012
Maine,2014,06/10/2014
Maryland,1990,09/11/1990
Maryland,1992,03/03/1992
Maryland,1994,09/13/1994
Maryland,1996,03/05/1996
Maryland,1998,09/15/1998
Maryland,2000,03/07/2000
Maryland,2002,09/10/2002
Maryland,2004,03/02/2004
Maryland,2006,09/12/2006
Maryland,2008,02/12/2008
Maryland,2010,09/14/2010
Maryland,2012,04/03/2012
Maryland,2014,06/24/2014
Massachusetts,1990,09/18/1990
Massachusetts,1992,09/15/1992
Massachusetts,1994,09/20/1994
Massachusetts,1996,09/17/1996
Massachusetts,1998,09/15/1998
Massachusetts,2000,09/19/2000
Massachusetts,2002,09/17/2002
Massachusetts,2004,09/14/2004
Massachusetts,2006,09/19/2006
Massachusetts,2008,09/16/2008
Massachusetts,2010,09/14/2010
Massachusetts,2012,09/06/2012
Massachusetts,2014,09/09/2014
Maryland,2016,04/26/2016
Maryland,2018,06/26/2018
Maryland,2020,06/02/2020
Maryland,2022,07/19/2022
Maryland,2024,05/14/2024
Maine,2016,06/14/2016
Maine,2018,06/12/2018
Maine,2020,07/14/2020
Maine,2022,06/14/2022
Maine,2024,06/11/2024
Michigan,2016,08/02/2016
Michigan,2018,08/07/2018
Michigan,2020,08/04/2020
Michigan,2022,08/02/2022
Michigan,2024,08/06/2024
Michigan,1990,08/07/1990
Michigan,1992,08/04/1992
Michigan,1994,08/02/1994
Michigan,1996,08/06/1996
Michigan,1998,08/04/1998
Michigan,2000,08/08/2000
Michigan,2002,08/06/2002
Michigan,2004,08/03/2004
Michigan,2006,08/08/2006
Michigan,2008,08/05/2008
Michigan,2010,08/03/2010
Michigan,2012,08/07/2012
Michigan,2014,08/05/2014
Minnesota,1990,09/11/1990
Minnesota,1992,09/15/1992
Minnesota,1994,09/13/1994
Minnesota,1996,09/10/1996
Minnesota,1998,09/15/1998
Minnesota,2000,09/12/2000
Minnesota,2002,09/10/2002
Minnesota,2004,09/14/2004
Minnesota,2006,09/12/2006
Minnesota,2008,09/09/2008
Minnesota,2010,08/10/2010
Minnesota,2012,08/14/2012
Minnesota,2014,08/12/2014
Mississippi,1991,08/06/1991
Mississippi,1995,08/01/1995
Mississippi,1999,08/03/1999
Mississippi,2003,08/05/2003
Mississippi,2007,08/07/2007
Mississippi,2011,08/02/2011
Mississippi,2015,08/04/2015
Mississippi,2019,08/06/2019
Mississippi,2023,08/08/2023
Missouri,1990,08/07/1990
Missouri,1992,08/04/1992
Missouri,1994,08/02/1994
Missouri,1996,08/06/1996
Missouri,1998,08/04/1998
Missouri,2000,08/08/2000
Missouri,2002,08/06/2002
Missouri,2004,08/03/2004
Missouri,2006,08/08/2006
Missouri,2008,08/05/2008
Missouri,2010,08/03/2010
Missouri,2012,08/07/2012
Missouri,2014,08/05/2014
Minnesota,2016,08/09/2016
Minnesota,2018,08/14/2018
Minnesota,2020,08/11/2020
Minnesota,2022,08/09/2022
Minnesota,2024,08/13/2024
Missouri,2016,08/02/2016
Missouri,2018,08/07/2018
Missouri,2020,08/04/2020
Missouri,2022,08/02/2022
Missouri,2024,08/06/2024
Montana,1990,06/05/1990
Montana,1992,06/02/1992
Montana,1994,06/07/1994
Montana,1996,06/04/1996
Montana,1998,06/02/1998
Montana,2000,06/06/2000
Montana,2002,06/04/2002
Montana,2004,06/08/2004
Montana,2006,06/06/2006
Montana,2008,06/03/2008
Montana,2010,06/08/2010
Montana,2012,06/05/2012
Montana,2014,06/03/2014
Mississippi,2016,03/08/2016
Mississippi,2018,06/05/2018
Mississippi,2020,03/10/2020
Mississippi,2022,06/07/2022
Mississippi,2024,03/12/2024
Montana,2016,06/07/2016
Montana,2018,06/05/2018
Montana,2020,06/02/2020
Montana,2022,06/07/2022
Montana,2024,06/04/2024
North Carolina,2016,06/07/2016
North Carolina,2018,05/08/2018
North Carolina,2020,03/03/2020
North Carolina,2022,05/17/2022
North Carolina,2024,03/05/2024
North Dakota,2016,06/14/2016
North Dakota,2018,06/12/2018
North Dakota,2020,06/09/2020
North Dakota,2022,06/14/2022
North Dakota,2024,06/11/2024
Nebraska,2016,05/10/2016
Nebraska,2018,05/15/2018
Nebraska,2020,05/12/2020
Nebraska,2022,05/10/2022
Nebraska,2024,05/14/2024
Nebraska,1990,05/15/1990
Nebraska,1992,05/12/1992
Nebraska,1994,05/10/1994
Nebraska,1996,05/14/1996
Nebraska,1998,05/12/1998
Nebraska,2000,05/09/2000
Nebraska,2002,05/14/2002
Nebraska,2004,05/11/2004
Nebraska,2006,05/09/2006
Nebraska,2008,05/13/2008
Nebraska,2010,05/11/2010
Nebraska,2012,05/15/2012
Nebraska,2014,05/13/2014
Nevada,1990,09/04/1990
Nevada,1992,09/01/1992
Nevada,1994,09/06/1994
Nevada,1996,09/02/1996
Nevada,1998,09/01/1998
Nevada,2000,09/05/2000
Nevada,2002,09/03/2002
Nevada,2004,09/07/2004
Nevada,2006,08/15/2006
Nevada,2008,08/12/2008
Nevada,2010,06/08/2010
Nevada,2012,06/12/2012
Nevada,2014,06/10/2014
New Hampshire,1990,09/11/1990
New Hampshire,1992,09/08/1992
New Hampshire,1994,09/13/1994
New Hampshire,1996,09/10/1996
New Hampshire,1998,09/08/1998
New Hampshire,2000,09/12/2000
New Hampshire,2002,09/10/2002
New Hampshire,2004,09/14/2004
New Hampshire,2006,09/12/2006
New Hampshire,2008,09/09/2008
New Hampshire,2010,09/14/2010
New Hampshire,2012,09/11/2012
New Hampshire,2014,09/09/2014
New Jersey,1991,06/04/1991
New Jersey,1993,06/08/1993
New Jersey,1995,06/06/1995
New Jersey,1997,06/03/1997
New Jersey,1999,06/08/1999
New Jersey,2001,06/26/2001
New Jersey,2003,06/03/2003
New Jersey,2005,06/07/2005
New Jersey,2007,06/05/2007
New Jersey,2009,06/04/2009
New Jersey,2011,06/07/2011
New Jersey,2013,06/04/2013
New Jersey,2015,06/02/2015
New Jersey,2017,06/06/2017
New Jersey,2019,06/04/2019
New Jersey,2021,06/08/2019
New Jersey,2023,06/06/2023
New Mexico,1990,06/05/1990
New Mexico,1992,06/02/1992
New Mexico,1994,06/07/1994
New Mexico,1996,06/04/1996
New Mexico,1998,06/02/1998
New Mexico,2000,06/06/2000
New Mexico,2002,06/04/2002
New Mexico,2004,06/01/2004
New Mexico,2006,06/06/2006
New Mexico,2008,06/03/2008
New Mexico,2010,06/01/2010
New Mexico,2012,06/05/2012
New Mexico,2014,06/03/2014
New York,1990,09/11/1990
New York,1992,09/15/1992
New York,1994,09/13/1994
New York,1996,09/10/1996
New York,1998,09/15/1998
New York,2000,09/12/2000
New York,2002,09/10/2002
New York,2004,09/14/2004
New York,2006,09/12/2006
New York,2008,09/09/2008
New York,2010,09/14/2010
New York,2012,09/13/2012
New York,2014,09/09/2014
New York,2016,09/13/2016
New York,2018,09/13/2018
New York,2020,06/23/2020
New York,2022,08/23/2022
New York,2024,06/25/2024
New Hampshire,2016,09/13/2016
New Hampshire,2018,09/11/2018
New Hampshire,2020,09/08/2020
New Hampshire,2022,09/13/2022
New Hampshire,2024,09/10/2024
New Mexico,2016,06/07/2016
New Mexico,2018,06/05/2018
New Mexico,2020,06/02/2020
New Mexico,2022,06/07/2022
New Mexico,2024,06/04/2024
North Carolina,1990,05/08/1990
North Carolina,1992,05/05/1992
North Carolina,1994,05/03/1994
North Carolina,1996,05/07/1996
North Carolina,1998,05/05/1998
North Carolina,2000,05/02/2000
North Carolina,2002,09/10/2002
North Carolina,2004,07/20/2004
North Carolina,2006,05/02/2006
North Carolina,2008,05/06/2008
North Carolina,2010,05/04/2010
North Carolina,2012,05/08/2012
North Carolina,2014,05/06/2014
North Dakota,1990,06/12/1990
North Dakota,1992,06/09/1992
North Dakota,1994,06/14/1994
North Dakota,1996,06/11/1996
North Dakota,1998,06/09/1998
North Dakota,2000,06/13/2000
North Dakota,2002,06/11/2002
North Dakota,2004,06/08/2004
North Dakota,2006,06/13/2006
North Dakota,2008,06/10/2008
North Dakota,2010,06/08/2010
North Dakota,2012,06/12/2012
North Dakota,2014,06/10/2014
Nevada,2016,06/14/2016
Nevada,2018,06/12/2018
Nevada,2020,06/09/2020
Nevada,2022,06/14/2022
Nevada,2024,06/11/2024
Ohio,2016,03/15/2016
Ohio,2018,05/08/2018
Ohio,2020,04/28/2020
Ohio,2022,05/03/2022
Ohio,2024,03/19/2024
Ohio,1990,05/08/1990
Ohio,1992,05/05/1992
Ohio,1994,05/03/1994
Ohio,1996,03/19/1996
Ohio,1998,05/05/1998
Ohio,2000,03/07/2000
Ohio,2002,05/07/2002
Ohio,2004,03/02/2004
Ohio,2006,05/02/2006
Ohio,2008,03/04/2008
Ohio,2010,05/04/2010
Ohio,2012,03/06/2012
Ohio,2014,05/06/2014
Oklahoma,2016,06/28/2016
Oklahoma,2018,06/26/2018
Oklahoma,2020,06/30/2020
Oklahoma,2022,06/28/2022
Oklahoma,2024,06/18/2024
Oklahoma,1990,08/28/1990
Oklahoma,1992,08/25/1992
Oklahoma,1994,08/23/1994
Oklahoma,1996,08/27/1996
Oklahoma,1998,08/25/1998
Oklahoma,2000,08/22/2000
Oklahoma,2002,08/27/2002
Oklahoma,2004,07/27/2004
Oklahoma,2006,07/25/2006
Oklahoma,2008,07/29/2008
Oklahoma,2010,07/27/2010
Oklahoma,2012,06/26/2012
Oklahoma,2014,06/24/2014
Oregon,2016,05/17/2016
Oregon,2018,05/15/2018
Oregon,2020,05/19/2020
Oregon,2022,05/17/2022
Oregon,2024,05/21/2024
Oregon,1990,05/15/1990
Oregon,1992,05/19/1992
Oregon,1994,05/17/1994
Oregon,1996,05/21/1996
Oregon,1998,05/19/1998
Oregon,2000,05/16/2000
Oregon,2002,05/21/2002
Oregon,2004,05/18/2004
Oregon,2006,05/16/2006
Oregon,2008,05/20/2008
Oregon,2010,05/18/2010
Oregon,2012,05/15/2012
Oregon,2014,05/20/2014
Pennsylvania,2016,04/26/2016
Pennsylvania,2018,05/15/2018
Pennsylvania,2020,06/02/2020
Pennsylvania,2022,05/17/2022
Pennsylvania,2024,04/23/2024
Pennsylvania,1990,05/15/1990
Pennsylvania,1992,04/28/1992
Pennsylvania,1994,05/10/1994
Pennsylvania,1996,04/23/1996
Pennsylvania,1998,05/19/1998
Pennsylvania,2000,04/04/2000
Pennsylvania,2002,05/21/2002
Pennsylvania,2004,04/27/2004
Pennsylvania,2006,05/16/2006
Pennsylvania,2008,04/22/2008
Pennsylvania,2010,05/18/2010
Pennsylvania,2012,04/24/2012
Pennsylvania,2014,05/20/2014
Rhode Island,1990,09/11/1990
Rhode Island,1992,09/15/1992
Rhode Island,1994,09/13/1994
Rhode Island,1996,09/10/1996
Rhode Island,1998,09/15/1998
Rhode Island,2000,09/12/2000
Rhode Island,2002,09/10/2002
Rhode Island,2004,09/14/2004
Rhode Island,2006,09/12/2006
Rhode Island,2008,09/09/2008
Rhode Island,2010,09/14/2010
Rhode Island,2012,09/11/2012
Rhode Island,2014,09/09/2014
Rhode Island,2016,09/13/2016
Rhode Island,2018,09/12/2018
Rhode Island,2020,09/08/2020
Rhode Island,2022,09/13/2022
Rhode Island,2024,09/10/2024
South Carolina,2016,06/14/2016
South Carolina,2018,06/12/2018
South Carolina,2020,06/09/2020
South Carolina,2022,06/14/2022
South Carolina,2024,06/11/2024
South Dakota,2016,06/07/2016
South Dakota,2018,06/05/2018
South Dakota,2020,06/02/2020
South Dakota,2022,06/07/2022
South Dakota,2024,06/04/2024
South Carolina,1990,06/12/1990
South Carolina,1992,06/09/1992
South Carolina,1994,06/14/1994
South Carolina,1996,06/11/1996
South Carolina,1998,06/09/1998
South Carolina,2000,06/13/2000
South Carolina,2002,06/11/2002
South Carolina,2004,06/08/2004
South Carolina,2006,06/13/2006
South Carolina,2008,06/10/2008
South Carolina,2010,06/08/2010
South Carolina,2012,06/12/2012
South Carolina,2014,06/10/2014
South Dakota,1990,06/05/1990
South Dakota,1992,06/02/1992
South Dakota,1994,06/07/1994
South Dakota,1996,06/04/1996
South Dakota,1998,06/02/1998
South Dakota,2000,06/06/2000
South Dakota,2002,06/04/2002
South Dakota,2004,06/01/2004
South Dakota,2006,06/06/2006
South Dakota,2008,06/03/2008
South Dakota,2010,06/08/2010
South Dakota,2012,06/05/2012
South Dakota,2014,06/03/2014
Tennessee,1990,08/02/1990
Tennessee,1992,08/06/1992
Tennessee,1994,08/04/1994
Tennessee,1996,08/01/1996
Tennessee,1998,08/06/1998
Tennessee,2000,08/03/2000
Tennessee,2002,08/01/2002
Tennessee,2004,08/05/2004
Tennessee,2006,08/03/2006
Tennessee,2008,08/07/2008
Tennessee,2010,08/05/2010
Tennessee,2012,08/02/2012
Tennessee,2014,08/07/2014
Texas,1990,03/13/1990
Texas,1992,03/10/1992
Texas,1994,03/08/1994
Texas,1996,03/12/1996
Texas,1998,03/10/1998
Texas,2000,03/14/2000
Texas,2002,03/12/2002
Texas,2004,03/09/2004
Texas,2006,03/07/2006
Texas,2008,03/04/2008
Texas,2010,03/02/2010
Texas,2012,05/29/2012
Texas,2014,03/04/2014
Tennessee,2016,08/04/2016
Tennessee,2018,08/02/2018
Tennessee,2020,08/06/2020
Tennessee,2022,08/04/2022
Tennessee,2024,08/01/2024
Texas,2016,03/01/2016
Texas,2018,03/06/2018
Texas,2020,03/03/2020
Texas,2022,03/01/2022
Texas,2024,03/05/2024
Utah,2016,06/28/2016
Utah,2018,06/26/2018
Utah,2020,06/30/2020
Utah,2022,06/28/2022
Utah,2024,06/25/2024
Utah,1990,09/11/1990
Utah,1992,09/08/1992
Utah,1994,06/28/1994
Utah,1996,06/25/1996
Utah,1998,06/23/1998
Utah,2000,06/27/2000
Utah,2002,06/25/2002
Utah,2004,06/22/2004
Utah,2006,06/27/2006
Utah,2008,06/24/2008
Utah,2010,06/22/2010
Utah,2012,06/26/2012
Utah,2014,06/24/2014
Virginia,2016,06/14/2016
Virginia,2018,06/12/2018
Virginia,2020,06/23/2020
Virginia,2022,06/21/2022
Virginia,2024,06/18/2024
Vermont,1990,09/11/1990
Vermont,1992,09/08/1992
Vermont,1994,09/13/1994
Vermont,1996,09/10/1996
Vermont,1998,09/08/1998
Vermont,2000,09/12/2000
Vermont,2002,09/10/2002
Vermont,2004,09/14/2004
Vermont,2006,09/12/2006
Vermont,2008,09/09/2008
Vermont,2010,08/24/2010
Vermont,2012,08/28/2012
Vermont,2014,08/26/2014
Virginia,1991,06/18/1991
Virginia,1993,06/15/1993
Virginia,1995,06/13/1995
Virginia,1997,06/10/1997
Virginia,1999,06/08/1999
Virginia,2001,06/12/2001
Virginia,2003,06/10/2003
Virginia,2005,06/14/2005
Virginia,2007,06/12/2007
Virginia,2009,06/09/2009
Virginia,2011,08/23/2011
Virginia,2013,06/11/2013
Virginia,2015,06/09/2015
Virginia,2017,06/13/2017
Virginia,2019,06/11/2019
Virginia,2021,06/08/2021
Virginia,2023,06/20/2023
Vermont,2016,08/09/2016
Vermont,2018,08/14/2018
Vermont,2020,08/11/2020
Vermont,2022,08/09/2022
Vermont,2024,08/13/2024
Washington,2016,08/02/2016
Washington,2018,08/07/2018
Washington,2020,08/04/2020
Washington,2022,08/02/2022
Washington,2024,08/06/2024
Washington,1990,09/18/1990
Washington,1992,09/15/1992
Washington,1994,09/20/1994
Washington,1996,09/17/1996
Washington,1998,09/15/1998
Washington,2000,09/19/2000
Washington,2002,09/17/2002
Washington,2004,09/14/2004
Washington,2006,09/19/2006
Washington,2008,08/19/2008
Washington,2010,08/17/2010
Washington,2012,08/07/2012
Washington,2014,08/05/2014
West Virginia,1990,05/08/1990
West Virginia,1992,05/12/1992
West Virginia,1994,05/10/1994
West Virginia,1996,05/14/1996
West Virginia,1998,05/12/1998
West Virginia,2000,05/09/2000
West Virginia,2002,05/14/2002
West Virginia,2004,05/11/2004
West Virginia,2006,05/09/2006
West Virginia,2008,05/13/2008
West Virginia,2010,05/11/2010
West Virginia,2012,05/08/2012
West Virginia,2014,05/13/2014
Wisconsin,2016,08/09/2016
Wisconsin,2018,08/14/2018
Wisconsin,2020,08/11/2020
Wisconsin,2022,08/09/2022
Wisconsin,2024,08/13/2024
Wisconsin,1990,09/11/1990
Wisconsin,1992,09/08/1992
Wisconsin,1994,09/13/1994
Wisconsin,1996,09/10/1996
Wisconsin,1998,09/08/1998
Wisconsin,2000,09/12/2000
Wisconsin,2002,09/10/2002
Wisconsin,2004,09/14/2004
Wisconsin,2006,09/12/2006
Wisconsin,2008,09/09/2008
Wisconsin,2010,09/14/2010
Wisconsin,2012,08/14/2012
Wisconsin,2014,08/12/2014
West Virginia,2016,05/10/2016
West Virginia,2018,05/08/2018
West Virginia,2020,06/09/2020
West Virginia,2022,05/10/2022
West Virginia,2024,05/14/2024
Wyoming,2016,08/16/2016
Wyoming,2018,08/21/2018
Wyoming,2020,08/18/2020
Wyoming,2022,08/16/2022
Wyoming,2024,08/20/2024
Wyoming,1990,08/21/1990
Wyoming,1992,08/18/1992
Wyoming,1994,08/16/1994
Wyoming,1996,08/20/1996
Wyoming,1998,08/18/1998
Wyoming,2000,08/22/2000
Wyoming,2002,08/20/2002
Wyoming,2004,08/17/2004
Wyoming,2006,08/22/2006
Wyoming,2008,08/19/2008
Wyoming,2010,08/17/2010
Wyoming,2012,08/21/2012
Wyoming,2014,08/19/2014
